"","gene1","gene2","pValue","oddsRatio","00","01","11","10","pAdj","Event","pair","event_ratio"
"176","GJB2","KMT2D",0.468262134878407,1.63811947664282,2638,35,1,46,1,"Co_Occurence","GJB2, KMT2D","1/81"
"177","ERBB2","MSH6",0.471810166323438,1.62431100655836,2632,27,1,60,1,"Co_Occurence","ERBB2, MSH6","1/87"
"178","HRAS","CFTR",0.47300447394009,1.61406948263952,2638,43,1,38,1,"Co_Occurence","CFTR, HRAS","1/81"
"179","ATM","ERCC2",0.47300447394009,1.61406948263952,2638,43,1,38,1,"Co_Occurence","ATM, ERCC2","1/81"
"180","NF1","NRAS",0.4737907410435,1.61012962468804,2638,39,1,42,1,"Co_Occurence","NF1, NRAS","1/81"
"181","KRAS","PTEN",0.475491778736592,0.711146907657475,2249,54,7,410,1,"Mutually_Exclusive","KRAS, PTEN","7/464"
"182","NRAS","CFTR",0.48165341207759,1.57210364619394,2637,43,1,39,1,"Co_Occurence","CFTR, NRAS","1/82"
"183","ATP7B","ERBB2",0.483778806685352,1.56572814295539,2631,60,1,28,1,"Co_Occurence","ATP7B, ERBB2","1/88"
"184","CDKN2A","ERBB2",0.485866589772644,1.38072345490744,2563,58,3,96,1,"Co_Occurence","CDKN2A, ERBB2","3/154"
"185","TP53","SMAD4",0.486410795468996,1.23388789146035,1737,35,23,925,1,"Co_Occurence","SMAD4, TP53","23/960"
"186","CTNNB1","POLK",0.488068012680556,1.54395094903377,2633,31,1,55,1,"Co_Occurence","CTNNB1, POLK","1/86"
"187","ROS1","ATM",0.495719952394249,1.50712733949865,2635,38,1,46,1,"Co_Occurence","ATM, ROS1","1/84"
"188","GJB2","HRAS",0.495719952394249,1.50712733949865,2635,38,1,46,1,"Co_Occurence","GJB2, HRAS","1/84"
"189","ROS1","HRAS",0.495719952394249,1.50712733949865,2635,38,1,46,1,"Co_Occurence","HRAS, ROS1","1/84"
"190","TP53","ATM",0.498598820627426,0.731288968122651,1744,28,11,937,1,"Mutually_Exclusive","ATM, TP53","11/965"
"191","ERCC2","NF1",0.506776273805091,1.45820141397685,2634,42,1,43,1,"Co_Occurence","ERCC2, NF1","1/85"
"192","CTNNB1","FBXW7",0.509180205961106,1.44932386290214,2631,33,1,55,1,"Co_Occurence","CTNNB1, FBXW7","1/88"
"193","CTNNB1","PIK3CA",0.510453608496602,1.24597924324473,2390,274,7,49,1,"Co_Occurence","CTNNB1, PIK3CA","7/323"
"194","BRAF","BRCA1",0.516581026414656,0.401503321586924,2559,85,1,75,1,"Mutually_Exclusive","BRAF, BRCA1","1/160"
"195","POLK","PTEN",0.518106857816204,1.41266868918278,2628,60,1,31,1,"Co_Occurence","POLK, PTEN","1/91"
"196","APC","CTNNB1",0.51815074100949,0.366322847933022,2538,55,1,126,1,"Mutually_Exclusive","APC, CTNNB1","1/181"
"197","FBXW7","SMAD4",0.521631012725647,1.39743759695441,2629,57,1,33,1,"Co_Occurence","FBXW7, SMAD4","1/90"
"198","ERCC2","TP53",0.525475010599138,0.780902231312666,1741,935,13,31,1,"Mutually_Exclusive","ERCC2, TP53","13/966"
"199","APC","ERBB2",0.529765583514762,1.44662223530641,2536,57,4,123,1,"Co_Occurence","APC, ERBB2","4/180"
"200","NF1","GJB2",0.530181348903292,1.36160436338624,2631,46,1,42,1,"Co_Occurence","GJB2, NF1","1/88"
