Main_AA,Sub_AA,Rlab_PTSCwScore
Cysteine,Asparagine,APT_DF:m3|ICP_DF:m1|ECP_DF:m6|MEP_DF:m1
Cysteine,Aspartic acid,APT_DF:m3|ICP_DF:m2|ECP_DF:m7|MEP_DF:m3
Cysteine,Cysteine,APT_F:4|ICP_F:4|ECP_F:4|MEP_F:4
Cysteine,Glutamine,APT_DF:m3|ICP_DF:m2|ECP_DF:m5|MEP_DF:m3
Cysteine,Glutamic acid,APT_DF:m4|ICP_DF:m2|ECP_DF:m6|MEP_DF:m3
Cysteine,Glycine,APT_DF:m3|ICP_DF:m1|ECP_DF:m6|MEP_DF:m1
Cysteine,Histidine,APT_DF:m3|ICP_N:0|ECP_DF:m5|MEP_DF:m1
Cysteine,Isoleucine,APT_DF:m1|ICP_N:0|ECP_DF:m5|MEP_DF:m1
Cysteine,Leucine,APT_DF:m1|ICP_N:0|ECP_DF:m5|MEP_DF:m1
Cysteine,Lysine,APT_DF:m3|ICP_DF:m1|ECP_DF:m6|MEP_DF:m3
Cysteine,Methionine,APT_DF:m1|ICP_N:0|ECP_DF:m5|MEP_DF:m1
Cysteine,Phenylalanine,APT_DF:m2|ICP_N:0|ECP_DF:m5|MEP_F:1
Cysteine,Proline,APT_DF:m3|ICP_DF:m2|ECP_DF:m6|MEP_DF:m3
Cysteine,Serine,APT_DF:m1|ICP_N:0|ECP_DF:m5|MEP_F:2
Cysteine,Threonine,APT_DF:m1|ICP_N:0|ECP_DF:m5|MEP_N:0
Cysteine,Tryptophan,APT_DF:m2|ICP_DF:m1|ECP_DF:m5|MEP_F:1
Cysteine,Tyrosine,APT_DF:m2|ICP_N:0|ECP_DF:m4|MEP_F:3
Cysteine,Valine,APT_DF:m1|ICP_N:0|ECP_DF:m4|MEP_N:0
Glutamine,Alanine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m2
Glutamine,Arginine,APT_F:1|ICP_N:0|ECP_N:0|MEP_F:5
Glutamine,Asparagine,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:3
Glutamine,Aspartic acid,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:2
Glutamine,Cysteine,APT_DF:m3|ICP_DF:m2|ECP_DF:m5|MEP_DF:m3
Glutamine,Glutamine,APT_F:4|ICP_F:4|ECP_F:4|MEP_F:10
Glutamine,Glutamic acid,APT_F:2|ICP_F:1|ECP_N:0|MEP_F:7
Glutamine,Glycine,APT_DF:m2|ICP_N:0|ECP_N:0|MEP_DF:m2
Glutamine,Histidine,APT_N:0|ICP_N:0|ECP_N:0|MEP_F:7
Glutamine,Isoleucine,APT_DF:m3|ICP_DF:m2|ECP_DF:m1|MEP_DF:m4
Glutamine,Leucine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_DF:m2
Glutamine,Lysine,APT_F:1|ICP_N:0|ECP_N:0|MEP_F:6
Glutamine,Methionine,APT_N:0|ICP_N:0|ECP_N:0|MEP_DF:m2
Glutamine,Phenylalanine,APT_DF:m3|ICP_DF:m2|ECP_DF:m2|MEP_DF:m4
Glutamine,Proline,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_N:0
Glutamine,Serine,APT_N:0|ICP_N:0|ECP_N:0|MEP_DF:m1
Glutamine,Threonine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m2
Glutamine,Tryptophan,APT_DF:m2|ICP_DF:m2|ECP_DF:m1|MEP_N:0
Glutamine,Tyrosine,APT_DF:m1|ICP_DF:m1|ECP_DF:m1|MEP_N:0
